CellID,Hoechst_1,E-cadherin,panCK,Lamin B,Hoechst_2,Laminin,Vimentin,CD3D,Hoechst_3,Lamin AC,CK7,Collagen IV,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2692,3070.761797752809,188.31685393258428,520.2247191011236,138.8741573033708,112.95280898876405,108.90337078651686,108.14157303370787,147.97752808988764,132.12134831460673,148.9438202247191,110.4561797752809,114.33033707865168,5124.58202247191,4613.930337078652,445,29.238879159728445,19.479847368484755,0.745745445720883,0.956989247311828,0.71658615136876,-0.8757839975901579
2693,854.9356884057971,133.5072463768116,275.598731884058,126.7336956521739,138.54981884057972,135.35960144927537,179.82789855072463,291.5072463768116,140.955615942029,159.25090579710144,117.09601449275362,113.61322463768116,5381.679347826087,4621.313405797101,1104,44.83729880665694,32.096683333440616,0.6982563106448336,0.9566724436741768,0.7449392712550608,-0.7951050583731429
2694,738.0927152317881,122.05298013245033,229.6953642384106,117.45033112582782,146.79470198675497,107.27152317880795,109.40397350993378,155.67549668874173,124.47682119205298,129.5562913907285,105.6158940397351,111.81456953642385,8711.1059602649,4611.496688741722,151,17.13304352551066,11.349980142531779,0.749096043575893,0.9556962025316456,0.6990740740740741,-0.05410684609052279
2695,258.15606936416185,109.99421965317919,156.242774566474,113.8728323699422,109.83236994219654,107.6820809248555,106.77456647398844,142.59537572254337,127.48554913294798,147.27745664739885,111.57803468208093,112.67052023121387,3923.364161849711,4612.236994219653,173,19.852883094130124,12.117860827879616,0.7921064867764461,0.9153439153439153,0.5339506172839507,0.758977445342873
2696,658.3106796116505,192.3749066467513,529.5369678864824,143.7259148618372,151.08140403286035,132.5160567587752,165.21583271097833,193.51157580283794,136.04480955937265,161.79761015683346,116.93876026885735,114.75280059746079,5652.408513816281,4622.586258401792,1339,47.60895914456998,36.82891928387681,0.633709405508881,0.9190116678105696,0.791371158392435,1.4812174479029256
2697,615.4203296703297,140.17582417582418,308.3873626373626,144.24725274725276,145.54395604395606,117.54120879120879,128.07417582417582,199.3956043956044,146.98901098901098,164.23901098901098,118.5576923076923,112.40384615384616,6597.695054945055,4615.021978021978,364,24.108197220746558,19.330051288019604,0.5975869736050081,0.9811320754716981,0.8272727272727273,-1.114899047141513
2698,731.5526932084309,143.20608899297423,332.1967213114754,181.7423887587822,131.1639344262295,109.17330210772833,111.711943793911,159.28337236533957,446.6744730679157,149.2576112412178,116.06323185011709,113.47306791569086,8816.735362997659,4617.768149882904,427,26.917416589361313,20.262249127176013,0.6582995341485713,0.977116704805492,0.7735507246376812,-0.698867540598299
2699,747.6487985212569,188.547134935305,556.8632162661737,145.81515711645102,115.27171903881701,108.61182994454714,109.65988909426987,158.92236598890943,128.14602587800368,147.68207024029576,110.22920517560074,113.48798521256931,9496.24953789279,4616.558225508318,541,31.112853593147648,23.246267648426123,0.6646446515066607,0.9001663893510815,0.6261574074074074,-1.1329256968954533
2700,210.01206636500754,116.86274509803921,196.71493212669682,115.22171945701358,125.74509803921569,115.89140271493213,121.00904977375566,184.86726998491704,147.3046757164404,152.71191553544494,112.93061840120663,111.3604826546003,2005.1417797888387,4621.2926093514325,663,31.72498144299761,27.084860359487713,0.5207008488108683,0.9512195121951219,0.6964285714285714,1.4418022659099476
2701,806.7581300813008,182.91260162601625,498.8780487804878,143.6117886178862,131.35569105691056,125.8109756097561,157.64430894308944,329.5833333333333,131.58739837398375,149.2378048780488,109.8150406504065,113.17479674796748,7153.058943089431,4621.119918699187,492,26.337329242758205,24.773003214507842,0.3395050634187426,0.9820359281437125,0.6758241758241759,1.1117990351063212
